,spread,beta,z_score,short,long,exit,close_1,close_2
2020-06-22,-5.514362859365576,1.584361535448581,0.16129764587120454,False,False,False,88.181884765625,29.89181137084961
2020-06-23,-3.968672517326368,1.590703203428924,0.35822414195747004,False,False,False,87.05453491210938,29.541906356811523
2020-06-24,-4.928462215157538,1.5961868378382094,0.24156538611322972,False,False,False,87.16021728515625,28.650482177734375
2020-06-25,-1.1314301721069455,1.6061554201128119,0.7206383125885999,False,False,False,85.49556732177734,29.641878128051758
2020-06-26,-1.4315723048789408,1.6147706468535128,0.686368052829797,False,False,False,85.83905792236328,29.75851821899414
2020-06-29,-1.8106261328952655,1.6217017862200689,0.6417127364440613,False,False,False,86.64936828613281,30.574954986572266
2020-06-30,-3.093862718263665,1.6298981418680631,0.48337081618581956,False,False,False,87.7062759399414,30.887033462524414
2020-07-01,-3.159724002411906,1.6352565254039009,0.47864340226363733,False,False,False,88.68392181396484,32.320899963378906
2020-07-02,-4.639118879156797,1.640023471153724,0.2958676144624326,False,False,False,89.11548614501953,31.45214080810547
2020-07-06,-4.6559473558479425,1.6450363815178657,0.29790427401696007,False,False,False,89.1683349609375,31.42683982849121
2020-07-07,-4.396369068798748,1.651104780222397,0.33532630704674704,False,False,False,88.13786315917969,29.88333511352539
2020-07-08,-3.324331784077515,1.6563142237687736,0.4763095206899428,False,False,False,87.53012084960938,29.849597930908203
2020-07-09,-1.6519480170136092,1.6608481860488844,0.694201112014197,False,False,False,86.0416488647461,28.955541610717773
2020-07-10,-2.318828947019796,1.6650279519845816,0.611815512644662,False,False,False,87.27469635009766,30.246015548706055
2020-07-13,-3.908681122682978,1.6711947638172269,0.41137886476883717,False,False,False,87.80317687988281,29.427871704101562
2020-07-14,-4.667663540707821,1.6759350565125286,0.31705792368010466,False,False,False,88.45494079589844,29.664031982421875
2020-07-15,-4.212778893833246,1.6804515187103752,0.3787868580488686,False,False,False,88.63990020751953,30.338787078857422
2020-07-16,-4.6112774920780595,1.683962391406706,0.3304070203048222,False,False,False,88.56063079833984,29.72308349609375
2020-07-17,-4.52444678104365,1.6864162816373307,0.34467677022803944,False,False,False,89.00983428955078,30.49061393737793
2020-07-20,-4.165339223892545,1.6907827830586792,0.39352076079153514,False,False,False,87.90885925292969,28.904932022094727
2020-07-21,-6.927546843794019,1.6949774646334315,0.038509790440462724,False,False,False,89.96984100341797,29.53752326965332
2020-07-22,-8.54074088267771,1.6977635196388792,-0.1669920133191077,False,False,False,91.62567901611328,30.642438888549805
2020-07-23,-8.203806773583068,1.7007532726205747,-0.11912212228841089,False,False,False,91.33502197265625,30.397829055786133
2020-07-24,-7.291458183671693,1.7048936136958244,0.0036212429863873223,False,False,False,90.71849060058594,30.170108795166016
2020-07-27,-6.70139243557918,1.7076233397182645,0.08377038836964033,False,False,False,90.33977508544922,30.035146713256836
2020-07-28,-8.19477659888986,1.7080913554158232,-0.1080419109449099,False,False,False,92.1277084350586,31.519617080688477
2020-07-29,-8.279928094991732,1.7075259711196367,-0.11552192750728892,False,False,False,93.06130981445312,32.95347595214844
2020-07-30,-8.300805128112103,1.7070235927474695,-0.11475441005830302,False,False,False,92.84994506835938,32.49801254272461
2020-07-31,-9.227837796600198,1.7050213743707867,-0.2327727968024049,False,False,False,93.35197448730469,32.35463333129883
2020-08-03,-8.678132882452758,1.7038515990795386,-0.15641697390122053,False,False,False,92.75304412841797,31.8063907623291
2020-08-04,-7.4513848407897285,1.7067552231489356,0.009331960059055395,False,False,False,92.31266784667969,32.19437789916992
2020-08-05,-5.532417132914588,1.7079038680535024,0.26625928880772265,False,False,False,91.32620239257812,32.35463333129883
2020-08-06,-5.996421664864556,1.7091177860851077,0.2098635803676986,False,False,False,92.21578216552734,33.32460021972656
2020-08-07,-5.7440802097958255,1.707233957045149,0.24823524977408698,False,False,False,93.10536193847656,35.019927978515625
2020-08-10,-5.257410855039353,1.7064343280012189,0.3180534978410707,False,False,False,93.39600372314453,35.92241668701172
2020-08-11,-2.321903939764198,1.705777853537536,0.7141331701069643,False,False,False,91.185302734375,35.019927978515625
2020-08-12,-4.750581365531573,1.7047450579945833,0.3934960453879452,False,False,False,92.44479370117188,34.665679931640625
2020-08-13,-5.178221433801866,1.705176948781524,0.34115813879529744,False,False,False,92.14532470703125,33.645103454589844
