earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker,pnl
2025-04-24,2.01,2.81,40.1,GOOG,0.2427978061124255
2025-02-04,2.13,2.15,1.18,GOOG,0.0344337647714216
2024-10-29,1.85,2.12,14.74,GOOG,0.1622959443661089
2024-07-23,1.84,1.89,2.54,GOOG,0.1229742575188062
2024-04-25,1.51,1.89,25.58,GOOG,-0.4308534870025064
2024-01-30,1.6,1.64,2.53,GOOG,-0.021942147282852
2023-10-24,1.45,1.55,7.05,GOOG,-0.1947446008939784
2023-07-25,1.34,1.44,7.29,GOOG,-0.0089570263963935
2023-04-25,1.07,1.17,9.45,GOOG,0.1202480825772986
2023-02-02,1.2,1.05,-12.33,GOOG,0.0682359382975297
2022-10-25,1.26,1.06,-16.01,GOOG,-0.049730652219478
2022-07-26,1.29,1.21,-6.05,GOOG,0.1042984320829344
2022-04-26,1.28,1.23,-3.67,GOOG,0.1420848277416161
2022-02-01,1.36,1.53,12.52,GOOG,-0.2865885293559473
2021-10-26,1.16,1.4,20.44,GOOG,0.1265362397755145
2021-07-27,0.96,1.36,42.7,GOOG,0.210501363788347
2021-04-27,0.78,1.31,67.88,GOOG,-0.0081016788493768
2021-02-02,0.8,1.12,39.28,GOOG,-0.167674338695158
2020-10-29,0.56,0.82,46.48,GOOG,-0.0355903786379707
2020-07-30,0.41,0.51,23.4,GOOG,0.1631676594240494
2020-04-28,0.54,0.49,-8.29,GOOG,-0.2357666318581748
2020-02-03,0.63,0.77,21.89,GOOG,0.3201863064375503
2026-02-03,1.31,,,AMD,
2025-11-04,0.68,0.75,10.04,AMD,0.1240131305069395
2025-08-05,-0.05,0.54,1240.2,AMD,0.1427408283341019
2025-05-06,0.93,0.96,2.83,AMD,0.1500611263502777
2025-02-04,1.09,1.09,0.36,AMD,0.1528992745669643
2024-10-29,0.92,0.92,0.46,AMD,-0.0022698665107082
2024-07-30,0.68,0.69,1.26,AMD,0.0101135179481589
2024-04-30,0.61,0.62,2.04,AMD,0.1137379237346723
2024-01-30,0.77,0.77,-0.01,AMD,0.255775564234253
2023-10-31,0.68,0.7,3.59,AMD,0.1287935270364391
2023-08-01,0.57,0.58,1.05,AMD,0.1424945651789524
2023-05-02,0.56,0.6,6.5,AMD,0.025994571107121
2023-01-31,0.67,0.69,2.51,AMD,-0.0273825849294835
2022-11-01,0.7,0.67,-4.83,AMD,0.1079086829857031
2022-08-02,1.04,1.05,1.37,AMD,0.1464781819312978
2022-05-03,0.92,1.13,22.23,AMD,0.0558287373097236
2022-02-01,0.76,0.92,21.38,AMD,-0.1135876803827674
2021-10-26,0.66,0.73,10.04,AMD,0.0704560686564397
2021-07-27,0.54,0.63,16.95,AMD,-0.0788131418849176
2021-04-27,0.44,0.52,18.31,AMD,0.1847696604731563
2021-01-26,0.48,0.52,9.46,AMD,0.003611586888685
2020-10-27,0.36,0.41,15.49,AMD,0.1521270973524959
2020-07-28,0.17,0.18,8.78,AMD,0.0831205695063575
2020-04-28,0.18,0.18,-2.32,AMD,0.1756909647541138
2020-01-28,0.31,0.32,4.6,AMD,0.2273568807715688
2026-01-20,0.55,,,NFLX,
2025-10-21,0.7,0.59,-15.79,NFLX,-0.0682019101323419
2025-07-17,0.71,0.72,1.95,NFLX,0.2676305722135901
2025-04-17,0.57,0.66,16.37,NFLX,0.1985300018318836
2025-01-21,0.42,0.43,1.41,NFLX,-0.2904014905638972
2024-10-17,0.51,0.54,5.32,NFLX,-0.0737059515538012
2024-07-18,0.47,0.49,2.92,NFLX,0.3600643387943242
2024-04-18,0.45,0.53,16.66,NFLX,0.1415999475380986
